Health IT,Ag & Food,Cleantech,Consumer,Real Estate/Construction,Industrial Tech,Fintech,Enterprise,Other Verticals,Irrelevant,Nothing
health & life sciences,Agriculture,Ethical Fashion,B2C Marketplace,Infrastructure,Digital Freight Brokerage,Fin Tech,Product Management,Data,CARMA AXLR8R 01,Active
Biology,Cellular Agriculture,Clean Energy,Consumer,Housing,Robotic Process Automation,FinTech,SaaS,marketplaces,CHINACCELERATOR 02,Android
Health,Food and Beverages,Clean Technology,B2C,Real Estate,Industrial Automation,Fintech,B2B Marketplace,Insurtech,CHINACCELERATOR 04,Apps
Gene Therapy,Food Processing,Energy Efficiency,Consumer/Gaming,Lighting,Logistics / Transportation / Shipping,financial tech,B2B Commerce,Logistics,CHINACCELERATOR 06,Bay Area
AI-powered Drug Discovery,Food Tech,Green Building,consumer,Commercial Real Estate,Chemicals,Financial Services,Enterprise,Community,CHINACCELERATOR 07,Beverly Hills
telemedicine,Food+Tech,Green Consumer Goods,gaming,Construction,Maintenance,Banking as a Service,DevTools,Quantum Computing,CHINACCELERATOR 08,Bridging Online and Offline
Medical Robotics,Nutrition,Ocean Economy,Sustainable Fashion,Home & Garden,Manufacturing,Income Share Agreements,B2B,Marketplace,CHINACCELERATOR 09,Ca
Consumer Health Services,FOOD DISTRIBUTION TECHNOLOGY,Renewable Energies,Entertainment,Home Automation,Mining Technologies,Finance,enterprise,Deep Learning,CHINACCELERATOR 10,CHINACCELERATOR 17
COVID-19,FOOD TECHNOLOGY,CLEANTECH,Ecommerce,Home Decor,Group Buying,Financial Exchanges,Recruiting,Minerals,CHINACCELERATOR 11,Civic Tech
Mental Health Tech,FUTURE FOOD & AGRICULTURE,Energy Storage,Cloud Gaming,Home Improvement,Heavy Industry,Payments,Documents,Telecoms,CHINACCELERATOR 12,Civictech
Primary Care,AGRITECH,Small Modular Reactors,Lifestyle,Residential,Marine Equipment,Accounting,Enterprise Software,Artifical Intelligence,CHINACCELERATOR 13,Cloud / Content
medical device,Vertical Farming,Energy,Cosmetics,Residential Real Estate,Procurement,Banking,Project Management,Machine Learning,CHINACCELERATOR 14,Collaboration
Robotic Surgery,Agtech,Envirotech,E-Commerce,Landscaping,Shipping,Mobile Payments,Productivity Software,Data Engineering,CHINACCELERATOR 15,Content
Fertility Tech,Food,Fusion Energy,E-Commerce Platforms,Property Management,Shipping Broker Industry,Crowdsourcing,Logistics Software,Computer Vision,CHINACCELERATOR 16,Craigslist Killers
Cryogenics,Grocery,Sustainability,Digital Media,Rental Housing,Specialty Chemicals,Finance Technology,Business Intelligence,DevSecOps,FOOD-X 01,Creative
Pediatrics,Cultivated Meat,Solar Power,Mobile,Vacation Rentals,Trucking,Financial Technology,Cloud Data Services,Robotics,FOOD-X 02,Crowdfunding
Healthcare,Restaurants,Sustainable Tourism,Communities,Proptech,Storage,Accounting,Distributed Systems,Sports Tech,FOOD-X 03,Curated Web
Medical,3D Printed Foods,,Beauty,Property management,DESIGN MATERIALS,Banking,Cyber Security,Carbon Capture and Removal,FOOD-X 04,Diagnostics
Medical Devices,,,Social Media,Realty / Rentals,HUMAN-MACHINE INTERFACE,Credit,Software,Design Tools,FOOD-X 05,Direct sale
Health Care Information Technology,,,Video,Moving,ROBOTICS,Credit Cards,Email Marketing,Hard Tech,FOOD-X 06,Direct service
